"nLayers","nNodes","MSE"
4,39,77.1905096805274
4,40,85.534918999995
4,41,84.6263997202269
4,42,89.9922332801909
4,43,88.6363184442488
4,44,81.3812428897091
4,45,84.0058632603436
4,46,81.3031996862983
4,47,96.0291343617512
4,48,83.8711815882515
4,49,79.7227332308444
4,50,88.7025847573568
4,51,89.1320823191745
4,52,81.9264138751181
4,53,74.7438152400017
4,54,80.5686002367385
4,55,75.688667137164
4,56,75.6528648699521
4,57,81.3416341011194
4,58,76.9165534598373
4,59,82.3044759661816
4,60,91.2390768177588
5,1,91.2390768177588
5,2,91.2390768177588
5,3,1741.09769008755
5,4,77.9209254738038
5,5,89.0935608648338
5,6,88.8304241263928
5,7,78.936963689364
5,8,86.9935122113129
5,9,78.7011399838135
5,10,84.4932209264705
5,11,90.597031124181
5,12,86.8687733618893
5,13,106.416177997152
5,14,95.8931937907881
5,15,87.7132297190257
5,16,83.2225391378322
5,17,78.8830989053496
5,18,77.0629619960613
5,19,91.0713444095418
5,20,95.8237001316432
5,21,91.1763202391373
5,22,76.0487905259632
5,23,86.3175589581527
5,24,88.325005165294
5,25,92.1742282302386
5,26,79.2161735437506
5,27,80.168014892187
5,28,85.0243790042907
5,29,85.520732177868
5,30,87.9269086924101
5,31,79.9641236238161
5,32,78.8739411150604
5,33,76.0991997781497
5,34,90.5226190360558
5,35,77.0315365226395
5,36,89.1989884593951
5,37,76.7121792615087
5,38,78.3856603193478
5,39,79.4512980809369
5,40,88.4388807414376
5,41,82.7898291731609
5,42,76.0834624577914
5,43,78.3762190873602
5,44,82.5186865115019
5,45,82.7833196249371
5,46,78.7186794639844
5,47,87.7011238946446
5,48,79.0394032985332
5,49,78.2023314176743
5,50,81.5824138198711
5,51,80.5401217659851
5,52,78.5128597618648
5,53,94.0735428268625
5,54,75.0411389511648
5,55,79.5074786666175
5,56,75.1584392042716
5,57,87.8421354017635
5,58,77.6592496973956
5,59,79.1422602398147
5,60,93.2352762042713
6,1,93.2352762042713
6,2,93.2352762042713
6,3,102.164482859575
6,4,89.0696956062866
6,5,77.3724248585532
6,6,81.2030204245202
6,7,81.8830579568667
6,8,95.7890274054666
6,9,85.965651885417
6,10,89.7517829589837
6,11,72.9976632701663
6,12,85.776581132392
6,13,97.8032947593569
6,14,79.474638127094
6,15,75.5329167660934
6,16,80.8475880341219
6,17,76.8818309909555
6,18,79.5120041645684
6,19,89.9987473021151
6,20,74.719396076273
6,21,91.5134073919874
6,22,77.0028181879192
6,23,76.1532862917573
6,24,80.4057410186477
6,25,84.9958674596106
6,26,80.7656161870019
6,27,87.0206548336913
6,28,77.7301254930663
6,29,78.369580566119
6,30,79.0172148294433
6,31,80.7341007684941
6,32,91.4848846963124
6,33,80.931474748926
6,34,79.6660061693763
6,35,80.1259067617981
6,36,76.2772383894429
6,37,88.8706775726707
6,38,85.9239801546457
6,39,81.2895583161281
6,40,78.2056608473763
6,41,85.5779701519821
6,42,84.5651689131345
6,43,86.1036025404504
6,44,89.5360520712461
6,45,76.2169856079478
6,46,85.3180901661214
6,47,95.3693051390164
6,48,93.0893378048075
6,49,79.3283941721131
6,50,78.1955056213643
6,51,86.4527311687394
6,52,94.5701807731156
6,53,78.2478656328428
6,54,75.7383888108593
6,55,78.3519152207781
6,56,82.1742364369905
6,57,77.2947536357236
6,58,76.80486374031
6,59,80.0661651716687
6,60,91.9376234638395
7,1,91.9376234638395
7,2,91.9376234638395
7,3,77.9418581200009
7,4,73.0138425267064
7,5,89.1889317659995
7,6,77.5087241714767
7,7,78.0472130575519
7,8,74.9468638955567
7,9,87.5205336231172
7,10,100.946883947396
7,11,84.0192559853547
7,12,77.7691240387478
7,13,87.6252232379826
7,14,89.8529267759667
7,15,93.6824718128142
7,16,88.3231586623896
7,17,78.3830886828573
7,18,81.2652477053547
7,19,79.2355497825232
7,20,77.315348207694
7,21,74.8791365635049
7,22,83.0671429010108
7,23,96.835200890663
7,24,91.8294756971219
7,25,88.5576085240878
7,26,92.4853157827132
7,27,87.8627016365806
7,28,88.1413657689605
7,29,89.3271388624432
7,30,82.9564195624149
7,31,77.163980252404
7,32,89.0120238483751
7,33,92.7378347227868
7,34,83.477578746749
7,35,90.7845603675841
7,36,84.3793037959302
7,37,74.2627009995902
7,38,95.1215568030308
7,39,93.1210438285644
7,40,87.5475257653936
7,41,77.4906402259239
7,42,83.0671812017501
7,43,88.1793953698707
7,44,76.2049170605267
7,45,85.1212394316679
7,46,87.3514468293616
7,47,85.1755481601346
7,48,77.6929024446819
7,49,78.0388808672004
7,50,76.8779588226866
7,51,83.3888552441269
7,52,77.9378874581327
7,53,78.1166171649782
7,54,90.3345746290122
7,55,77.1827886967027
7,56,82.2014653465528
7,57,103.271142695214
7,58,83.4703335738388
7,59,80.7651156885844
7,60,81.7530543353806
8,1,81.7530543353806
8,2,81.7530543353806
8,3,88.8192748616708
8,4,74.8099965398626
8,5,84.4047919598367
8,6,78.7284542261885
8,7,83.2188257483731
8,8,77.4033968335659
8,9,85.6948126997602
8,10,77.7010238233168
8,11,81.2705342426365
8,12,86.373705284251
8,13,78.2974591287031
8,14,85.3334115516304
8,15,95.6864576890411
8,16,88.8444653113341
8,17,92.8634475608929
8,18,75.045575741865
8,19,85.3844199388065
8,20,92.1946381669351
8,21,76.1402082200815
8,22,85.5184774253167
8,23,95.3649406638799
8,24,95.4446355185682
8,25,76.6141346668982
8,26,77.7242568134416
8,27,89.1765069619685
8,28,90.9792411841595
8,29,86.4967382757001
8,30,94.5417107158672
